"filename", "language", "Go", "Markdown", "JSON", "YAML", "Log", "Django HTML", "JavaScript", "PostCSS", "TypeScript", "JSON with Comments", "SCSS", "TypeScript JSX", "Svelte", "XML", "comment", "blank", "total"
"/home/danny/projects/mei/frontend/.svelte-kit/output/client/_app/immutable/nodes/2.Cp2-uTyJ.js", "JavaScript", 0, 0, 0, 0, 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 20, 438
"/home/danny/projects/mei/frontend/.svelte-kit/output/client/_app/version.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/danny/projects/mei/frontend/.svelte-kit/output/prerendered/dependencies/_app/env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/danny/projects/mei/frontend/.svelte-kit/output/prerendered/pages/index.html", "Django HTML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/.vite/manifest.json", "JSON", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/_app/immutable/assets/_layout.nAxyQ3wm.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/context.js", "JavaScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 1, 79
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/environment.js", "JavaScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/equality.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/events.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1585, 0, 0, 0, 0, 0, 0, 0, 120, 1, 1706
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/exports.js", "JavaScript", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 2, 1, 233
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/false.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 769, 0, 0, 0, 0, 0, 0, 0, 178, 1, 948
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/index2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 49, 1, 263
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/internal.js", "JavaScript", 0, 0, 0, 0, 0, 0, 812, 0, 0, 0, 0, 0, 0, 0, 85, 7, 904
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/shared.js", "JavaScript", 0, 0, 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 6, 1, 521
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/chunks/utils2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/entries/fallbacks/error.svelte.js", "JavaScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 1, 57
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/entries/pages/_layout.svelte.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1416, 0, 0, 0, 0, 0, 0, 0, 100, 1, 1517
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/entries/pages/_layout.ts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/entries/pages/_page.svelte.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5344, 0, 0, 0, 0, 0, 0, 0, 352, 1, 5697
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4281, 0, 0, 0, 0, 0, 0, 0, 185, 1, 4467
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/internal.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/manifest-full.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/nodes/0.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/nodes/1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/nodes/2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/danny/projects/mei/frontend/.svelte-kit/output/server/remote-entry.js", "JavaScript", 0, 0, 0, 0, 0, 0, 800, 0, 0, 0, 0, 0, 0, 0, 24, 1, 825
"/home/danny/projects/mei/frontend/.svelte-kit/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 52
"/home/danny/projects/mei/frontend/.svelte-kit/types/route_meta_data.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/danny/projects/mei/frontend/.svelte-kit/types/src/routes/$types.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 2, 26
"/home/danny/projects/mei/frontend/build/_app/env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
